Parsing start
ol: CMSSW_10_6_0_pre3/src/TimeMemory/step3.log, sl: CMSSW_10_6_0_pre4/src/TimeMemory/step3.log
Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
   +0.071022      +0.03%        17.04 ms/ev ->        18.30 ms/ev unsortedOfflinePrimaryVertices4DnoPID
   +0.066427      +0.03%        15.60 ms/ev ->        16.67 ms/ev initialStepTracks
   +0.061612      +0.03%        17.29 ms/ev ->        18.39 ms/ev unsortedOfflinePrimaryVertices4Dfastsim
   +0.058571      +0.08%        48.33 ms/ev ->        51.24 ms/ev csc2DRecHits
   -0.056842      -0.02%        12.48 ms/ev ->        11.79 ms/ev displacedStandAloneMuons
   +0.056258      +0.25%       162.87 ms/ev ->       172.30 ms/ev pfCombinedCvsLJetTags
   +0.055783      +0.03%        16.96 ms/ev ->        17.93 ms/ev unsortedOfflinePrimaryVertices4D
  ---------- ------------     --------                  ----       ------------
Job total:  3.74379 s/ev ==> 4.1167 s/ev

The same excluding the first 1 events
  delta/mean delta/orJob     original                   new       module name
  ---------- ------------     --------                  ----       ------------
       added      +0.00%         0.00 ms/ev ->         0.01 ms/ev lowPtGsfToTrackLinks
   +1.507854      +0.04%         0.18 ms/ev ->         1.27 ms/ev me0Segments
   -1.321822      -0.00%         0.15 ms/ev ->         0.03 ms/ev mergedDuplicateTracks
   +1.094055      +0.00%         0.05 ms/ev ->         0.17 ms/ev pfNoPileUpIso
   +1.010024      +0.14%         1.86 ms/ev ->         5.66 ms/ev allConversions
   -0.976776      -0.02%         1.03 ms/ev ->         0.35 ms/ev muonSeededSeedsOutIn
   +0.831474      +0.84%        16.14 ms/ev ->        39.11 ms/ev conversionTrackCandidates
   +0.768847      +0.05%         1.13 ms/ev ->         2.54 ms/ev dt4DSegments
   +0.756794      +0.04%         0.94 ms/ev ->         2.09 ms/ev interestingGedGamIsoDetIdEB
   +0.696976      +0.02%         0.57 ms/ev ->         1.19 ms/ev CSCHaloData
   +0.691753      +0.07%         1.86 ms/ev ->         3.83 ms/ev muonSeededSeedsOutInDisplaced
   +0.685084      +0.03%         0.78 ms/ev ->         1.59 ms/ev conversions
   +0.606369      +0.03%         1.06 ms/ev ->         1.97 ms/ev dt4DCosmicSegments
   +0.591814      +0.06%         2.11 ms/ev ->         3.88 ms/ev muonsFromCosmics
   -0.552660      -0.14%         8.66 ms/ev ->         4.91 ms/ev tevMuons
   +0.545894      +0.02%         0.62 ms/ev ->         1.08 ms/ev particleFlowSuperClusterHGCalFromMultiCl
   +0.540421      +0.74%        27.30 ms/ev ->        47.52 ms/ev particleFlowClusterHGCal
   -0.474817      -0.04%         2.75 ms/ev ->         1.69 ms/ev globalMuons
   +0.458465      +0.06%         2.78 ms/ev ->         4.44 ms/ev pixelPairStepTrackCandidates
   +0.456490      +0.01%         0.43 ms/ev ->         0.69 ms/ev reducedEcalRecHitsEB
   -0.428177      -0.01%         0.83 ms/ev ->         0.54 ms/ev glbTrackQual
   +0.389199      +0.06%         3.21 ms/ev ->         4.76 ms/ev pfTrackElec
   +0.377595      +0.01%         0.58 ms/ev ->         0.84 ms/ev particleFlowEGamma
   +0.369637      +0.07%         4.05 ms/ev ->         5.88 ms/ev lowPtGsfElectrons
   +0.367400      +0.13%         7.75 ms/ev ->        11.24 ms/ev particleFlowClusterHGCalFromMultiCl
   -0.359914      -0.01%         1.05 ms/ev ->         0.73 ms/ev pixelPairStepTracks
   -0.352532      -0.06%         5.39 ms/ev ->         3.78 ms/ev ak8PFJetsCHSSoftDrop
   +0.344562      +0.26%        17.22 ms/ev ->        24.39 ms/ev cosmicMuons
