Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
   -0.078775      -0.01%       203.27 ms/ev ->       187.87 ms/ev combinatoricRecoTaus
   -0.073355      -0.00%         8.11 ms/ev ->         7.54 ms/ev photons
   +0.072733      +0.05%       829.08 ms/ev ->       891.66 ms/ev electronCkfTrackCandidatesFromMultiCl
   +0.072004      +0.00%        74.62 ms/ev ->        80.20 ms/ev displacedStandAloneMuons
   +0.071664      +0.00%        19.74 ms/ev ->        21.20 ms/ev generalTracks
   -0.069363      -0.01%       154.69 ms/ev ->       144.32 ms/ev pixelPairStepTrackCandidates
   +0.068861      +0.00%        33.85 ms/ev ->        36.26 ms/ev detachedQuadStepSeeds
   -0.068146      -0.00%        14.80 ms/ev ->        13.82 ms/ev vertexMerger
   -0.066263      -0.00%        14.23 ms/ev ->        13.32 ms/ev caloTowerForTrk
   -0.065320      -0.00%         6.21 ms/ev ->         5.82 ms/ev gedPhotonsTmp
   +0.064429      +0.01%       222.25 ms/ev ->       237.05 ms/ev initialStepSeeds
   +0.063373      +0.00%        17.16 ms/ev ->        18.28 ms/ev lowPtTripletStepSeeds
   -0.062235      -0.00%        11.05 ms/ev ->        10.38 ms/ev reducedEcalRecHitsEB
   -0.059869      -0.05%      1141.78 ms/ev ->      1075.41 ms/ev particleFlowDisplacedVertex
   -0.059584      -0.00%        57.73 ms/ev ->        54.39 ms/ev trackTimeValueMapProducer
   -0.059219      -0.04%       933.07 ms/ev ->       879.41 ms/ev highPtTripletStepTrackCandidates
   -0.058697      -0.00%         5.75 ms/ev ->         5.42 ms/ev uncleanedHybridSuperClusters
   +0.056661      +0.01%       235.01 ms/ev ->       248.71 ms/ev gsfGeneralInOutOutInConversionTrackMerger
   -0.056178      -0.01%       161.45 ms/ev ->       152.63 ms/ev hpsPFTauDiscriminationByMediumCombinedIsolationDBSumPtCorr3Hits
   -0.056007      -0.01%       160.46 ms/ev ->       151.72 ms/ev hpsPFTauDiscriminationByTightCombinedIsolationDBSumPtCorr3Hits
   -0.055919      -0.01%       159.95 ms/ev ->       151.25 ms/ev hpsPFTauDiscriminationByLooseCombinedIsolationDBSumPtCorr3Hits
   -0.055757      -0.01%       159.94 ms/ev ->       151.27 ms/ev hpsPFTauDiscriminationByLooseCombinedIsolationDBSumPtCorr3HitsdR03
   -0.055752      -0.01%       160.62 ms/ev ->       151.91 ms/ev hpsPFTauDiscriminationByMediumCombinedIsolationDBSumPtCorr3HitsdR03
   +0.055734      +0.01%       151.54 ms/ev ->       160.23 ms/ev cosmicsVeto
   -0.055592      -0.01%       160.61 ms/ev ->       151.92 ms/ev hpsPFTauDiscriminationByRawCombinedIsolationDBSumPtCorr3Hits
   -0.055113      -0.01%       160.59 ms/ev ->       151.97 ms/ev hpsPFTauPUcorrPtSumdR03
   -0.054613      -0.01%       271.62 ms/ev ->       257.19 ms/ev detachedQuadStepTrackCandidates
