Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
   -0.079429      -0.11%      2298.83 ms/ev ->      2123.21 ms/ev detachedQuadStepHitQuadruplets
   -0.076402      -0.00%        38.55 ms/ev ->        35.72 ms/ev siPixelRecHits
   -0.069201      -0.00%         5.32 ms/ev ->         4.97 ms/ev pfPileUpAllChargedParticles
   +0.065160      +0.00%        32.15 ms/ev ->        34.31 ms/ev gedGsfElectronsTmp
   -0.064799      -0.01%       248.75 ms/ev ->       233.14 ms/ev gsfGeneralInOutOutInConversionTrackMerger
   -0.064063      -0.00%        58.59 ms/ev ->        54.95 ms/ev globalMuons
   -0.060856      -0.00%        66.69 ms/ev ->        62.76 ms/ev siPixelClustersPreSplitting
   -0.060614      -0.00%       119.90 ms/ev ->       112.85 ms/ev cosmicMuons
   -0.060214      -0.00%        37.77 ms/ev ->        35.56 ms/ev cosmicDCSeeds
   -0.057336      -0.00%        47.72 ms/ev ->        45.06 ms/ev tevMuons
   -0.056777      -0.00%         6.70 ms/ev ->         6.33 ms/ev particleFlowTmp
   -0.056504      -0.00%         6.98 ms/ev ->         6.60 ms/ev electronMergedSeedsFromMultiCl
   +0.055619      +0.01%       145.52 ms/ev ->       153.84 ms/ev cosmicsVeto
   -0.055032      -0.00%        17.27 ms/ev ->        16.34 ms/ev hpsPFTauPrimaryVertexProducer
   -0.054081      -0.00%        44.25 ms/ev ->        41.92 ms/ev HGCalRecHit
   -0.053552      -0.00%        48.78 ms/ev ->        46.23 ms/ev ak4TrackJets
   +0.053550      +0.00%        10.30 ms/ev ->        10.87 ms/ev reducedEcalRecHitsEB
   -0.052341      -0.00%       100.69 ms/ev ->        95.56 ms/ev detachedQuadStepHitDoublets
   -0.052137      -0.00%        21.22 ms/ev ->        20.14 ms/ev generalTracks
   +0.051939      +0.02%       656.42 ms/ev ->       691.42 ms/ev particleFlowBlock
  ---------- ------------     --------                  ----       ------------
Job total:  155.127 s/ev ==> 143.681 s/ev
